dataset,framing,learning_rate,batch_size,max_epochs,seed,best_val_accuracy,exp_name
winogrande-m-option,P-SPAN,1.00E-05,64,40,306522,0.5146014207,winogrande-m-option_P-SPAN_lr_1e-05_bs_64_max-epochs_40_seed_306522
winogrande-m-option,MC-SENT,1.00E-05,16,20,878433,0.5146014207,winogrande-m-option_MC-SENT_lr_1e-05_bs_16_max-epochs_20_seed_878433
winogrande-m-option,MC-SENT,1.00E-05,16,20,748616,0.5146014207,winogrande-m-option_MC-SENT_lr_1e-05_bs_16_max-epochs_20_seed_748616
winogrande-m-option,MC-SENT,1.00E-05,16,20,743554,0.5146014207,winogrande-m-option_MC-SENT_lr_1e-05_bs_16_max-epochs_20_seed_743554
winogrande-m-option,P-SENT,1.00E-05,32,20,481466,0.5138121547,winogrande-m-option_P-SENT_lr_1e-05_bs_32_max-epochs_20_seed_481466
winogrande-m-option,P-SENT,1.00E-05,32,20,753188,0.5138121547,winogrande-m-option_P-SENT_lr_1e-05_bs_32_max-epochs_20_seed_753188
winogrande-m-option,P-SENT,1.00E-05,32,20,110796,0.5138121547,winogrande-m-option_P-SENT_lr_1e-05_bs_32_max-epochs_20_seed_110796
winogrande-m-option,P-SPAN,1.00E-05,8,20,71750,0.5130228887,winogrande-m-option_P-SPAN_lr_1e-05_bs_8_max-epochs_20_seed_71750
winogrande-m-option,P-SENT,3.00E-05,64,20,994009,0.5130228887,winogrande-m-option_P-SENT_lr_3e-05_bs_64_max-epochs_20_seed_994009
winogrande-m-option,P-SENT,1.00E-05,16,40,453338,0.5130228887,winogrande-m-option_P-SENT_lr_1e-05_bs_16_max-epochs_40_seed_453338
winogrande-m-option,P-SENT,3.00E-05,64,20,644359,0.5130228887,winogrande-m-option_P-SENT_lr_3e-05_bs_64_max-epochs_20_seed_644359
winogrande-m-option,P-SENT,1.00E-05,16,40,581211,0.5130228887,winogrande-m-option_P-SENT_lr_1e-05_bs_16_max-epochs_40_seed_581211
winogrande-m-option,MC-SENT-PAIR,1.00E-05,16,10,991379,0.5130228887,winogrande-m-option_MC-SENT-PAIR_lr_1e-05_bs_16_max-epochs_10_seed_991379
