,level_0,index,dataset,framing,learning_rate,batch_size,max_epochs,seed,best_val_accuracy,exp_name,best_iter,current_iter,total_iter,early_stop
15,31,31,wsc-spacy,MC-MLM,2e-05,64,10,833290,0.8365384615384616,wsc-spacy_MC-MLM_lr_2e-05_bs_64_max-epochs_10_seed_833290,12.0,40.0,40.0,False
16,32,32,wsc-spacy,MC-MLM,2e-05,64,10,260680,0.8365384615384616,wsc-spacy_MC-MLM_lr_2e-05_bs_64_max-epochs_10_seed_260680,12.0,40.0,40.0,False
17,33,33,wsc-spacy,MC-MLM,1e-05,32,40,137240,0.8365384615384616,wsc-spacy_MC-MLM_lr_1e-05_bs_32_max-epochs_40_seed_137240,72.0,240.0,323.0,True
18,34,34,wsc-spacy,MC-MLM,2e-05,16,40,434182,0.8365384615384616,wsc-spacy_MC-MLM_lr_2e-05_bs_16_max-epochs_40_seed_434182,240.0,576.0,647.0,True
19,35,35,wsc-spacy,MC-MLM,1e-05,32,20,68822,0.8365384615384616,wsc-spacy_MC-MLM_lr_1e-05_bs_32_max-epochs_20_seed_68822,48.0,161.0,161.0,False
20,36,36,wsc-spacy,MC-MLM,1e-05,8,10,51028,0.8365384615384616,wsc-spacy_MC-MLM_lr_1e-05_bs_8_max-epochs_10_seed_51028,192.0,323.0,323.0,False
21,37,37,wsc-spacy,MC-MLM,1e-05,8,10,847763,0.8365384615384616,wsc-spacy_MC-MLM_lr_1e-05_bs_8_max-epochs_10_seed_847763,256.0,323.0,323.0,False
22,38,38,wsc-spacy,MC-MLM,1e-05,32,40,489241,0.8365384615384616,wsc-spacy_MC-MLM_lr_1e-05_bs_32_max-epochs_40_seed_489241,64.0,232.0,323.0,True
23,40,40,wsc-spacy,MC-MLM,1e-05,64,20,527376,0.8269230769230769,wsc-spacy_MC-MLM_lr_1e-05_bs_64_max-epochs_20_seed_527376,32.0,80.0,80.0,False
24,41,41,wsc-spacy,MC-MLM,2e-05,32,10,702636,0.8269230769230769,wsc-spacy_MC-MLM_lr_2e-05_bs_32_max-epochs_10_seed_702636,24.0,80.0,80.0,False
25,43,43,wsc-spacy,MC-MLM,2e-05,32,10,651319,0.8269230769230769,wsc-spacy_MC-MLM_lr_2e-05_bs_32_max-epochs_10_seed_651319,24.0,80.0,80.0,False
26,44,44,wsc-spacy,MC-MLM,1e-05,16,10,750290,0.8269230769230769,wsc-spacy_MC-MLM_lr_1e-05_bs_16_max-epochs_10_seed_750290,48.0,161.0,161.0,False
27,45,45,wsc-spacy,MC-MLM,1e-05,64,20,917580,0.8269230769230769,wsc-spacy_MC-MLM_lr_1e-05_bs_64_max-epochs_20_seed_917580,32.0,80.0,80.0,False
28,46,46,wsc-spacy,MC-MLM,1e-05,32,10,332531,0.8269230769230769,wsc-spacy_MC-MLM_lr_1e-05_bs_32_max-epochs_10_seed_332531,40.0,80.0,80.0,False
29,47,47,wsc-spacy,MC-MLM,2e-05,32,10,699482,0.8173076923076923,wsc-spacy_MC-MLM_lr_2e-05_bs_32_max-epochs_10_seed_699482,72.0,80.0,80.0,False
30,48,48,wsc-spacy,MC-MLM,1e-05,64,10,215135,0.8173076923076923,wsc-spacy_MC-MLM_lr_1e-05_bs_64_max-epochs_10_seed_215135,20.0,40.0,40.0,False
31,51,51,wsc-spacy,P-SPAN,1e-05,16,40,750845,0.7596153846153846,wsc-spacy_P-SPAN_lr_1e-05_bs_16_max-epochs_40_seed_750845,714.0,1385.0,1385.0,False
32,52,52,wsc-spacy,P-SPAN,2e-05,32,20,204989,0.7403846153846154,wsc-spacy_P-SPAN_lr_2e-05_bs_32_max-epochs_20_seed_204989,238.0,346.0,346.0,False
33,53,53,wsc-spacy,P-SPAN,1e-05,16,20,591674,0.7403846153846154,wsc-spacy_P-SPAN_lr_1e-05_bs_16_max-epochs_20_seed_591674,476.0,692.0,692.0,False
34,54,54,wsc-spacy,P-SPAN,1e-05,8,40,966893,0.7403846153846154,wsc-spacy_P-SPAN_lr_1e-05_bs_8_max-epochs_40_seed_966893,1173.0,2622.0,2770.0,True
35,55,55,wsc-spacy,P-SPAN,1e-05,16,20,894096,0.7403846153846154,wsc-spacy_P-SPAN_lr_1e-05_bs_16_max-epochs_20_seed_894096,476.0,692.0,692.0,False
36,56,56,wsc-spacy,P-SPAN,2e-05,32,20,660379,0.7403846153846154,wsc-spacy_P-SPAN_lr_2e-05_bs_32_max-epochs_20_seed_660379,238.0,346.0,346.0,False
37,58,58,wsc-spacy,P-SPAN,1e-05,16,40,487553,0.7211538461538461,wsc-spacy_P-SPAN_lr_1e-05_bs_16_max-epochs_40_seed_487553,1020.0,1385.0,1385.0,False
38,59,59,wsc-spacy,P-SPAN,1e-05,16,40,4029,0.7211538461538461,wsc-spacy_P-SPAN_lr_1e-05_bs_16_max-epochs_40_seed_4029,1020.0,1385.0,1385.0,False
